chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,ww_expected_fraction[1],ww_expected_fraction[2],ww_expected_fraction[3],ww_expected_fraction[4],ww_expected_fraction[5],ww_expected_fraction[6],ww_expected_fraction[7]
1.0,11.0,11.0,-448.92629,0.97909528,0.21111834,4.0,31.0,0.0,461.49434,-6.1347579,0.047392041,1.1795917,0.60510412,1.1399244,1.0158121,0.14559187,-12.016656,0.051369202,-1.1743765,-0.31446959,0.3941332,0.77000082,-0.75067942,0.11954309,-10.359352,0.21332566,2498982.5,11.366742,0.7204603,0.32500429,-6.0788546,0.14789399,-5.2411877,5.6889618e-06,0.98907343,0.0022907989,0.0052939655,0.36436205,0.36436205,0.99918779,0.00027875913,1.7420288e-05,0.36465823,0.99918779,0.47204572,1.1269818,-253.56195,-13.395275,0.0,1.6635501e-06,1.6635501e-06,1.114219e-05,1.2917575e-05,1.4084557e-05,1.4975953e-05,1.5706058e-05
1.0,12.0,12.0,-448.65097,0.98889282,0.21111834,4.0,31.0,0.0,457.64205,-7.6308712,0.010343575,-1.1685976,0.17087998,-0.6019254,0.19471879,-0.23968918,-11.106963,1.3411143,0.48346098,-0.72242111,0.21075345,-0.69681517,-0.13186498,0.21550575,-10.379038,0.14165512,242969.28,6.7832341,0.8042559,0.17550095,-7.6429587,-0.046671987,-7.7924877,2.8700761e-05,0.41925443,0.00047940793,0.00041282463,0.035425015,0.035425015,0.96179737,0.0014063373,7.4585919e-07,0.036832098,0.96179737,0.87645933,1.2404891,-256.03517,-12.536024,0.0,4.3904437e-06,4.3904437e-06,1.1219937e-05,1.2376319e-05,1.3107557e-05,1.3652524e-05,1.4090829e-05
1.0,13.0,13.0,-456.4892,0.99344025,0.21111834,4.0,15.0,0.0,462.91721,-4.5300168,0.002069333,-0.14571562,0.049454673,-1.6499309,0.27003186,2.6491152,-7.8375337,0.12766652,0.49594572,-0.52171396,0.099790355,-0.046967957,0.66135244,0.43843876,-10.996659,0.17596166,458829.54,8.0730132,1.3737234,0.5975558,-4.5303184,0.71534552,-3.8965696,0.00042043612,0.59072723,0.010777244,0.020311468,2.6480315,2.6480315,0.99225187,0.02060137,7.6144292e-05,2.668709,0.99225187,1.9374108,1.550285,-252.19877,-13.430885,0.0,1.4738079e-06,1.4738079e-06,1.0041748e-05,1.1344302e-05,1.2183232e-05,1.2815825e-05,1.3329039e-05
1.0,14.0,14.0,-451.92039,0.99396074,0.21111834,4.0,15.0,0.0,462.46239,-11.516598,0.00095118624,-0.10028968,0.039122566,0.10144508,0.70204036,-1.1262734,-6.9190534,0.62679439,0.99111775,-0.34556679,0.688841,-0.5283851,0.43600969,-0.3676868,-10.956176,0.09475615,832664.24,7.6327206,0.69436703,0.43157208,-11.516693,-0.79068936,-12.303414,0.0018403006,0.49187036,9.9623945e-06,4.5362328e-06,0.00051692187,0.00051692187,0.005699638,0.09017473,2.1546637e-06,0.090693807,0.005699638,1.5465238,0.69233399,-254.61515,-11.085803,0.0,4.71253e-06,4.71253e-06,9.6134163e-06,1.0265753e-05,1.0667746e-05,1.0962495e-05,1.1196726e-05
1.0,15.0,15.0,-448.0244,0.96070676,0.21111834,5.0,31.0,0.0,459.51283,-4.5660128,0.0086377565,0.37055132,0.16823554,-0.3507788,0.65018477,1.4529948,-12.540808,0.32621252,-0.82453584,-0.6874299,0.12580416,0.80645552,-0.38886455,0.36064873,-10.494778,0.32004807,334322.72,9.0432403,1.0722554,0.35197446,-4.562812,0.94471509,-3.6771104,2.7338985e-06,0.55656326,0.010432681,0.025295964,1.9596454,1.9596454,0.99990476,0.00013396103,5.2684545e-05,1.959832,0.99990476,0.67782608,1.4342596,-251.99973,-17.037252,0.0,3.3257326e-07,3.3257326e-07,9.8798746e-06,1.2333681e-05,1.4042649e-05,1.5396947e-05,1.6536746e-05
1.0,16.0,16.0,-454.76897,0.97778406,0.21111834,4.0,31.0,0.0,466.07708,-4.9235614,0.00030945556,-0.35358254,1.1712171,0.85969315,1.4565228,0.61163055,-12.96095,0.02640379,-1.2330031,-0.10904755,0.88033979,-0.46869893,0.33870618,0.3805709,-11.433639,0.016529705,678565.91,10.321728,1.1000681,0.78680613,-4.9236708,0.89085382,-3.0259297,2.2750569e-06,0.59353336,0.007272386,0.048512699,5.2360485,5.2360485,0.99995004,0.00011147779,0.00015011344,5.2363101,0.99995004,1.403131,1.4631196,-251.34879,-11.111988,0.0,8.6149266e-06,8.6149266e-06,1.0432196e-05,1.0552408e-05,1.0623369e-05,1.0674006e-05,1.0713449e-05
1.0,17.0,17.0,-454.59029,0.88657139,0.21111834,4.0,31.0,0.0,463.96084,-5.5667604,8.8661457e-05,-0.14838666,0.75498974,1.3810509,0.99145845,0.69257613,-12.102533,0.011023491,-0.035383446,-1.137499,0.51437851,0.24178667,0.17955005,0.27458678,-11.567473,0.015771887,552555.34,10.317295,1.1318478,0.080564081,-5.5667735,0.68666045,-3.8374339,5.5432853e-06,0.36308108,0.0038227946,0.021548828,2.1389476,2.1389476,0.99985549,0.00027162098,3.7516338e-05,2.1392568,0.99985549,1.1966788,1.3159868,-252.15987,-11.092074,0.0,7.6150983e-06,7.6150983e-06,9.0127549e-06,9.1118224e-06,9.1702777e-06,9.2119798e-06,9.2444572e-06
1.0,18.0,18.0,-458.77033,0.93436846,0.21111834,4.0,31.0,0.0,467.40196,-6.9311965,0.00040706222,1.2012356,0.78184854,2.4109733,0.31181694,0.82341173,-8.9725503,0.061308524,-1.19429,0.77843614,0.31492122,-1.7305392,-0.2006978,-0.092707975,-11.443792,0.042954509,721320.55,11.366969,1.1173235,1.1821327,-6.9307075,0.25675373,-4.7889378,0.0001178886,1.262953,0.00097730916,0.0083212916,0.69368538,0.69368538,0.99168095,0.0057765413,4.2669033e-05,0.69950459,0.99168095,0.81815964,0.91145963,-253.09712,-10.919746,0.0,5.9196285e-06,5.9196285e-06,8.9279527e-06,9.1977522e-06,9.3593423e-06,9.4757123e-06,9.5669732e-06
1.0,19.0,19.0,-448.07629,0.98421259,0.21111834,5.0,63.0,0.0,467.18344,-4.2293318,0.12724596,-0.58616224,0.12016205,-0.29431656,0.67051086,1.3823829,-13.231555,0.01363411,0.82208886,-0.61287321,0.2563667,0.26696683,0.4278908,-0.36350795,-11.09741,0.19627638,726430.07,6.679196,1.0718864,0.17652867,-4.3039186,0.92690274,-3.4123815,1.8133286e-06,0.58017134,0.013515494,0.032962606,3.7389082,3.7389082,0.99994821,8.8853104e-05,0.00010477868,3.7391018,0.99994821,1.5340185,0.6952332,-251.73514,-13.784995,0.0,1.0064617e-06,1.0064617e-06,9.143781e-06,1.0476344e-05,1.1344144e-05,1.2003114e-05,1.2540502e-05
1.0,20.0,20.0,-446.52992,0.96760868,0.21111834,4.0,31.0,0.0,453.81455,-6.2219714,0.15478756,-0.4960433,0.13438928,0.54406981,0.788923,1.7452815,-12.718456,0.015963791,0.34912208,-0.5829735,0.53568587,0.62377546,-0.45940764,-0.1997925,-10.77734,0.10166201,902105.37,6.0619253,0.93104887,0.26081699,-6.2987527,1.3768927,-4.8487428,3.0120718e-06,0.77971579,0.0018385966,0.0078382254,0.59201821,0.59201821,0.99971311,0.00014759152,2.2301865e-05,0.59218811,0.99971311,0.6316577,0.81890066,-253.17055,-12.167572,0.0,5.1225514e-06,5.1225514e-06,1.3319744e-05,1.4292129e-05,1.4893537e-05,1.5335534e-05,1.5687392e-05
