chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,conc_expected_log10[1],conc_expected_log10[2],conc_expected_log10[3],conc_expected_log10[4],conc_expected_log10[5],conc_expected_log10[6],conc_expected_log10[7],conc_expected_log10[8],conc_expected_log10[9],conc_expected_log10[10],conc_expected_log10[11],conc_expected_log10[12],conc_expected_log10[13],conc_expected_log10[14],conc_expected_log10[15]
1.0,11.0,11.0,-287.84429,0.93737765,0.19339555,4.0,15.0,0.0,300.09626,-4.5916429,1.7203012,1.0548486,1.2601193,0.42998671,0.47319342,0.60531874,-8.991041,0.25884757,1.2505072,-0.27505772,0.1882149,-0.44727891,0.36470807,0.47066331,-5.4189742,0.85948851,26960.204,7.1478858,0.0075624307,0.50720096,-2.7769855,0.28643284,-1.9487181,0.00017211456,0.69820517,0.062225803,0.14245656,15.596704,15.596704,0.99056175,0.035971942,0.11263624,15.745313,0.99056175,1.4400935,1.6010558,-250.44848,0.0,-19.343122,7.1025112,7.1025112,7.1441278,7.1464043,7.147736,7.1486808,7.1494137,7.1465646,7.1470709,7.1470719,7.147073,7.1470747,7.147077,7.1470803,7.147085
1.0,12.0,12.0,-290.23664,0.50908372,0.19339555,5.0,31.0,0.0,302.83713,-6.7594485,0.32981201,-0.82727513,0.080382553,-0.066226547,1.2392409,0.85048981,-14.254866,0.0037269885,-1.2208546,-0.76648923,0.14689978,0.13470746,-0.23713835,-0.42070761,-7.8332752,0.83846294,354454.37,8.4214003,0.35231403,1.2328512,-7.0322937,1.0539617,-5.9836555,6.4152571e-07,0.47392759,0.0008829043,0.0025195991,0.20694236,0.20694236,0.9944827,0.00013407887,0.0010140186,0.20809046,0.9944827,0.78888214,0.65658205,-254.30639,0.0,-23.032296,6.3075161,6.3075161,7.5849441,7.6909831,7.7530165,7.7970312,7.8311723,7.6984486,7.7220348,7.7220509,7.722075,7.722113,7.7221728,7.7222641,7.7223983
1.0,13.0,13.0,-289.82103,0.94615105,0.19339555,5.0,31.0,0.0,298.31364,-6.278625,0.51659763,0.19685589,0.15485357,-0.29291916,0.43496649,-2.374569,-13.15351,0.0032379428,-0.23816452,-1.1960913,0.78922936,0.061585291,-0.46247659,-0.33106013,-7.1559357,1.2301133,242002.48,8.391009,0.32925917,1.0219545,-6.1769298,-1.032858,-7.2551473,1.9371727e-06,0.31743367,0.0020767943,0.00070652831,0.053306381,0.053306381,0.98923449,0.00040486909,0.00017524644,0.053886497,0.98923449,0.62972215,0.71816198,-255.5678,0.0,-21.542924,6.415454,6.415454,7.4156624,7.5147137,7.5726715,7.6137978,7.6456999,7.521688,7.5437234,7.5438312,7.5439439,7.5440651,7.5441997,7.5443538,7.5445342
1.0,14.0,14.0,-288.7746,0.93513912,0.19339555,5.0,31.0,0.0,299.22377,-7.4765047,0.62279341,0.2677984,0.10158478,0.93498477,0.91647743,3.0938239,-9.8532666,0.10801551,0.27285542,0.20757851,0.037805965,-0.060888966,0.7047148,0.22469767,-7.4129592,0.92262172,50298.534,7.3368148,0.019874706,0.723142,-7.3097216,2.8354198,-4.3793216,5.4147759e-05,1.2278646,0.00066900326,0.012533859,1.6792528,1.6792528,0.98091785,0.011316882,0.021350233,1.7119199,0.98091785,2.0232696,1.2519442,-252.71666,0.0,-18.200783,7.2175666,7.2175666,7.3077107,7.3136934,7.3171932,7.3196763,7.3216023,7.3141147,7.3154456,7.3154521,7.3154598,7.3154696,7.3154825,7.3155,7.3155238
1.0,15.0,15.0,-284.90858,0.98608048,0.19339555,4.0,15.0,0.0,301.39673,-8.5148028,0.10518696,-0.21612164,0.35454493,0.42738618,0.53917678,1.0031631,-10.789091,0.58772362,1.7036,-0.93019456,0.17076258,-0.057508546,0.18608272,-0.033836351,-9.6322095,1.0678922,57504.052,6.8866165,0.14554843,0.96776188,-8.537536,0.54088225,-7.8451262,5.6129728e-05,0.39062203,0.00019597254,0.00039165619,0.039005009,0.039005009,0.76622893,0.011731113,0.00016904135,0.050905163,0.76622893,1.2045219,0.9667297,-256.02175,0.0,-20.302141,6.013326,6.013326,6.4399321,6.4837095,6.509327,6.5275054,6.5416069,6.4867922,6.496532,6.4982103,6.4998478,6.5014484,6.503016,6.5045552,6.5060704
1.0,16.0,16.0,-286.50901,0.90150864,0.19339555,4.0,31.0,0.0,293.69042,-6.2855758,0.32021767,0.19571731,0.12797403,0.1977775,0.63559076,1.3194878,-9.0106451,0.84300999,1.2203077,-0.41119053,0.14513039,0.24803315,0.17484616,-0.028004785,-8.4597628,0.28074711,592032.76,7.3317749,0.026105856,0.92597488,-6.2229036,0.83865424,-5.358939,0.00034158517,0.68715639,0.0019834776,0.0047058964,0.46599972,0.46599972,0.86164641,0.0713913,0.0034337506,0.54082477,0.86164641,1.191063,0.97238371,-253.61615,0.0,-18.058347,7.1751398,7.1751398,7.2793951,7.2872531,7.29185,7.2951115,7.2976414,7.2878064,7.2895543,7.2897143,7.2898729,7.2900308,7.2901887,7.2903477,7.2905087
1.0,17.0,17.0,-292.61758,0.98971446,0.19339555,4.0,15.0,0.0,303.5011,-2.911748,0.256122,-1.8211062,0.61481075,1.1356601,1.5750696,1.8108262,-12.397038,0.53026893,0.83073253,0.043375038,0.3144035,-0.66453888,0.038530009,-0.59407995,-11.105945,0.19438723,327909.87,6.8449991,0.22347253,1.1897726,-3.3781733,2.8521773,0.17222,6.4172129e-06,0.84742045,0.034109705,1.1879392,110.06237,110.06237,0.99130378,0.0013411975,0.96418195,111.0279,0.99130378,1.0392819,0.55207027,-249.40675,0.0,-21.491998,5.5041639,5.5041639,6.9235372,6.9908091,7.0301607,7.0580811,7.0797381,6.9955456,7.0105091,7.0105167,7.0105335,7.0105661,7.0106236,7.0107171,7.0108594
1.0,18.0,18.0,-290.52321,0.9494944,0.19339555,4.0,15.0,0.0,301.07324,-8.0572759,2.2887667,2.9817112,0.44091569,-0.18976539,0.24340185,-0.93443632,-12.511386,0.15371664,-0.33912495,-0.14787249,0.41494611,0.36228857,0.25986911,0.4211841,-1.4913286,0.27629554,31922.515,7.2455828,0.032777988,0.69887301,-1.2328345,-0.22744353,-1.5439486,3.497313e-06,1.0024608,0.29146524,0.21353627,22.093302,22.093302,0.98971072,0.00073093841,0.22895652,22.32299,0.98971072,1.2967603,1.5237648,-250.11896,0.0,-18.014907,7.0489149,7.0489149,7.2342439,7.244111,7.2498829,7.2539782,7.2571547,7.2448058,7.2470006,7.247002,7.2470049,7.2470106,7.2470206,7.2470369,7.2470616
1.0,19.0,19.0,-291.63469,0.64655544,0.19339555,5.0,31.0,0.0,308.38365,-7.0700216,0.096107415,-0.39527403,0.71508053,0.98904291,0.94413292,1.5032896,-8.3457673,0.57765884,0.4716405,-1.0454245,0.013489863,0.32643917,-0.11935919,-0.42190852,-12.880536,0.7642082,202403.77,6.8609583,0.011408677,0.66187932,-7.1080104,1.4193052,-4.9814599,0.00031174657,0.35309404,0.00081852192,0.0068640346,0.59219141,0.59219141,0.89785022,0.065155032,0.0022194812,0.65956592,0.89785022,0.88748897,0.65579403,-253.26609,0.0,-17.367555,6.7925063,6.7925063,6.8392061,6.8426403,6.8446492,6.8460745,6.8471801,6.842882,6.8436458,6.8436966,6.843747,6.8437973,6.8438475,6.8438979,6.8439489
1.0,20.0,20.0,-287.46795,0.99037272,0.19339555,4.0,31.0,0.0,297.60039,-4.8486543,0.72970007,0.99382543,0.39822945,-0.35445591,0.69484,0.9807399,-12.347182,0.20881465,0.33293603,-0.35437519,0.0061721417,-1.2937406,0.13216411,0.3719203,-1.6819127,0.70930658,78056.457,6.9690748,0.051197867,0.71307253,-4.1234598,0.68145731,-3.5831573,4.6545766e-06,0.69603151,0.016188409,0.027787826,2.6935966,2.6935966,0.99249962,0.0009728065,0.019382866,2.7139523,0.99249962,1.1412956,1.4505174,-251.93644,0.0,-17.611936,6.6618876,6.6618876,6.9045748,6.9199867,6.9290021,6.9353987,6.9403603,6.9210717,6.9244998,6.9245019,6.9245058,6.9245127,6.9245243,6.9245426,6.9245701
1.0,21.0,21.0,-285.71343,0.98010211,0.19339555,4.0,15.0,0.0,295.66924,-6.081175,1.8074206,1.871821,0.51513289,0.253755,0.60962477,1.6446661,-11.055465,0.54001624,0.93147469,-0.99555994,0.014835189,0.28423217,0.45638569,0.023684961,-3.754382,0.71437021,63728.723,6.9141207,0.0097118928,0.64404904,-2.6980073,1.0026292,-1.5646605,2.6129295e-05,0.37107789,0.067339568,0.209159,24.114167,24.114167,0.99595375,0.0054610227,0.092507354,24.212135,0.99595375,1.578359,1.0239677,-250.16264,0.0,-17.213711,6.8558493,6.8558493,6.9111304,6.9140539,6.9157641,6.9169775,6.9179187,6.9142597,6.91491,6.9149102,6.9149106,6.9149113,6.9149125,6.9149143,6.9149171
1.0,22.0,22.0,-281.90033,0.95577231,0.19339555,4.0,15.0,0.0,294.94792,-6.3887855,0.67499693,0.38803548,0.26889987,1.6457934,0.6642092,1.1002458,-9.3468337,0.68817584,-0.67571759,-0.71609794,0.19745686,-0.99186485,-0.41453423,0.31226523,-7.5685347,1.7585938,219640.14,7.0221968,0.069895568,0.69547517,-6.1268628,0.73079335,-4.9535158,5.4798581e-05,0.40174069,0.0021834201,0.0070585487,0.54172393,0.54172393,0.97530911,0.011452903,0.0022613593,0.5554382,0.97530911,0.66064792,1.3665171,-253.2741,0.0,-17.960466,6.6028234,6.6028234,6.8856046,6.9066439,6.9189515,6.9276839,6.9344574,6.9081251,6.9128046,6.9128667,6.9129301,6.9129957,6.9130647,6.9131388,6.9132199
