theta,infection_age_days,index_geometry_pass_fraction,recorded_onsets_p10,recorded_onsets_p90,before_share_median,campaign_positives_p10,campaign_positives_p90,attack_q10,attack_q50,attack_q90,p_attack_ge_0p10,p_attack_le_0p01,vsp_threshold_crossing_fraction,index_geometry_ok,t1_ok,t3_ok
10000000.0,0.0,0.0,0.0,0.10000000000000142,0.29320987654320985,0.0,0.10000000000000142,0.0,0.0,2.694691457828117e-05,0.025,0.975,0.025,False,False,False
10000000.0,3.0,0.075,0.0,4.0,0.32485569985569984,0.0,4.0,0.0,0.0,0.0013742926434923205,0.075,0.925,0.025,False,False,False
10000000.0,5.0,0.45,0.0,1724.2000000000012,0.40250124305510515,0.0,367.90000000000003,0.0,0.00026946914578280785,0.5331716518458639,0.225,0.775,0.2,False,False,False
10000000.0,7.0,0.675,0.0,2728.6,0.42985793453816473,0.0,419.0,0.0,0.00026946914578280785,0.7914039342495285,0.375,0.625,0.35,False,False,False
10000000.0,9.0,0.775,0.0,2839.6,0.5157384987893463,0.0,417.70000000000005,0.0,0.04392347076259768,0.809512260846133,0.475,0.5,0.475,False,False,False
10000000.0,11.0,0.9,0.0,2849.2,0.39309021113243764,0.0,448.7,0.0,0.7087038534087847,0.7968472109943412,0.675,0.325,0.65,True,False,False
10000000.0,13.0,0.925,0.0,2816.2,0.2975373743296995,0.0,451.8,0.00026946914578280785,0.6562921045540286,0.7947453516572353,0.775,0.225,0.775,True,False,False
31622776.601683795,0.0,0.0,0.0,1.0,0.6458333333333333,0.0,1.0,0.0,0.0,0.00026946914578280785,0.025,0.975,0.0,False,False,False
31622776.601683795,3.0,0.075,0.0,1528.3000000000002,0.11987381703470032,0.0,421.4000000000001,0.0,0.0,0.49911075181891673,0.175,0.825,0.175,False,True,False
31622776.601683795,5.0,0.45,0.0,2680.2000000000003,0.4124113475177305,0.0,410.40000000000003,0.0,0.00026946914578280785,0.7606844516302883,0.225,0.775,0.2,False,False,False
31622776.601683795,7.0,0.675,0.0,2978.9,0.4413412471666309,0.0,369.6000000000001,0.0,0.00026946914578280785,0.8518997574777688,0.35,0.65,0.325,False,False,False
