theta,infection_age_days,seed,infections_total,attack_rate,recorded_onsets,index_onset_day,index_shedding_at_day0,invalid_reason,parent_infections_total,parent_attack_rate,parent_recorded_onsets
1000000000.0,3.3,20200205,3458,0.9318243061169497,2879,-1.0,True,,3456,0.931285367825384,3103
1000000000.0,3.3,20200206,1,0.00026946914578280785,0,-1.0,True,,1,0.00026946914578280785,0
1000000000.0,3.3,20200207,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
1000000000.0,3.3,20200208,3461,0.932632713554298,3318,-1.0,True,,3450,0.9296685529506872,3379
1000000000.0,3.3,20200209,3,0.0008084074373484236,1,-1.0,True,,3,0.0008084074373484236,1
1000000000.0,3.3,20200210,2,0.0005389382915656157,1,-1.0,True,,2,0.0005389382915656157,1
1000000000.0,3.3,20200211,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
1000000000.0,3.3,20200212,3352,0.903260576663972,3315,-1.0,True,,3366,0.9070331447049312,3318
1000000000.0,3.3,20200213,3,0.0008084074373484236,2,-1.0,True,,3,0.0008084074373484236,2
1000000000.0,3.3,20200214,1188,0.32012934518997577,976,-1.0,True,,1211,0.3263271355429803,969
1000000000.0,3.3,20200215,0,0.0,0,-1.0,True,,0,0.0,0
1000000000.0,3.3,20200216,3240,0.8730800323362975,3147,-1.0,True,,3255,0.8771220695230396,3187
1000000000.0,3.3,20200217,0,0.0,0,-1.0,True,,0,0.0,0
1000000000.0,3.3,20200218,2728,0.7351118296954998,2367,-1.0,True,,2731,0.7359202371328483,2330
1000000000.0,3.3,20200219,3423,0.9223928860145514,3278,-1.0,True,,3426,0.9232012934518997,3368
1000000000.0,3.3,20200220,1112,0.29964969011048237,982,-1.0,True,,1129,0.3042306655887901,982
1000000000.0,3.3,20200221,3181,0.8571813527351119,3104,-1.0,True,,3164,0.852600377256804,3103
1000000000.0,3.3,20200222,2022,0.5448666127728375,1443,-1.0,True,,1953,0.5262732417138237,1474
1000000000.0,3.3,20200223,1113,0.29991915925626517,1026,-1.0,True,,1108,0.2985718135273511,1034
1000000000.0,3.3,20200224,3408,0.9183508488278093,3169,-1.0,True,,3428,0.9237402317434654,3277
