theta,infection_age_days,index_geometry_pass_fraction,recorded_onsets_p10,recorded_onsets_p90,recorded_onsets_median,before_share_median,campaign_positives_p10,campaign_positives_p90,campaign_specimens_median,attack_q10,attack_q50,attack_q90,takeoff_probability,onset_mass_near_target,vsp_threshold_crossing_fraction,index_geometry_ok,t1_ok,t3_ok,recorded_onsets_per_seed
23700000000.0,3.3,1.0,1952.1000000000004,3524.6,3459.5,0.7684875717688102,151.20000000000002,468.00000000000045,1919.5,0.6975208838587983,0.9518997574777688,0.9610617084343842,0.9,0.0,0.9,True,False,False,0 0 2169 2388 2553 2721 2991 3206 3413 3458 3461 3478 3487 3494 3517 3518 3521 3523 3539 3563
31600000000.0,3.3,1.0,2668.2000000000003,3537.4,3473.0,0.7752489331436699,175.0,499.6000000000001,1771.0,0.8887361897062787,0.9548639180813796,0.9640797628671517,0.95,0.0,0.95,True,False,False,0 2220 2718 2771 3112 3218 3335 3336 3352 3455 3491 3492 3504 3515 3517 3520 3528 3537 3541 3572
42200000000.0,3.3,1.0,2497.2000000000003,3547.2,3486.0,0.8542970973249858,169.8,318.70000000000005,1746.5,0.9477768795472918,0.9582322824036648,0.9625437887361897,0.95,0.0,0.95,True,False,False,0 2085 2543 2642 3209 3424 3430 3454 3468 3481 3491 3502 3505 3514 3528 3534 3535 3547 3549 3561
56200000000.0,3.3,1.0,2240.6,3558.5,3517.5,0.87177304964539,177.2,273.8,1600.5,0.9573430342225816,0.9625437887361897,0.9652384801940178,0.95,0.0,0.95,True,False,False,0 2075 2259 2732 3234 3356 3390 3426 3439 3515 3520 3525 3534 3536 3538 3553 3557 3558 3563 3568
75000000000.0,3.3,1.0,2087.7,3560.2,3506.0,0.9191489361702128,159.7,263.7,1571.0,0.9572621934788467,0.9636216653193209,0.9696308272702775,0.95,0.0,0.95,True,False,False,0 2004 2097 2437 3237 3255 3292 3345 3456 3495 3517 3521 3522 3525 3543 3546 3550 3560 3562 3566
