theta,infection_age_days,index_geometry_pass_fraction,recorded_onsets_p10,recorded_onsets_p90,recorded_onsets_median,before_share_median,campaign_positives_p10,campaign_positives_p90,campaign_specimens_median,attack_q10,attack_q50,attack_q90,takeoff_probability,onset_mass_near_target,vsp_threshold_crossing_fraction,index_geometry_ok,t1_ok,t3_ok,recorded_onsets_per_seed
10000.0,0.0,0.52,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0005389382915656157,0.0,0.0,0.0,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4
100000.0,0.0,0.52,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0029641606036108865,0.005,0.0,0.0,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 60
1000000.0,0.0,0.52,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00026946914578280785,0.023309081110212872,0.03,0.005,0.01,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 3 4 34 37 53 62 67 137
10000000.0,0.0,0.52,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00026946914578280785,0.0723524656426839,0.09,0.02,0.04,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 3 3 3 3 4 28 29 30 32 35 43 60 60 64 72 76 79 83 86 136 149 179 208
100000000.0,0.0,0.52,0.0,56.69999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.00026946914578280785,0.2177041228779303,0.165,0.085,0.11,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 3 10 22 24 28 29 30 41 50 51 51 53 53 56 63 88 89 106 110 110 122 123 128 137 139 150 152 153 169 186 213 265 297 324
1000000000.0,0.0,0.52,0.0,150.99999999999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0025599568849366747,0.5302883319859876,0.225,0.12,0.185,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 4 8 10 12 17 18 20 23 29 31 33 40 44 44 50 52 77 89 94 100 102 121 127 132 142 150 150 160 200 216 218 223 229 243 255 256 256 262 263 277 296 366 377 405 467 474 489
10000000000.0,0.0,0.52,0.0,453.19999999999993,1.0,1.0,0.0,0.0,0.0,0.00026946914578280785,0.13742926434923203,0.8062516841821611,0.355,0.1,0.295,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 8 14 14 20 22 22 24 26 27 27 28 28 30 30 33 36 36 38 40 41 42 43 57 60 63 64 66 70 74 79 91 99 104 117 152 174 175 186 195 202 204 225 257 280 303 310 341 342 370 376 383 452 464 498 499 504 504 512 513 518 540 545 583 605 611 670 710 744 781 832 847 926
100000000000.0,0.0,0.52,0.0,1035.6,58.5,1.0,0.0,0.0,0.0,0.0021288062516841826,0.7359202371328484,0.9159795203449205,0.575,0.21,0.54,False,False,False,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 4 10 12 14 16 16 18 19 25 25 25 28 34 46 51 56 61 61 66 69 70 73 83 85 88 91 95 99 99 103 105 115 116 118 120 121 135 144 144 148 152 163 183 185 196 197 197 200 236 238 243 258 260 260 264 278 286 290 290 295 306 311 325 359 363 365 367 368 372 398 398 410 424 462 463 516 552 605 642 666 698 710 732 737 744 812 935 944 957 968 973 986 994 1012 1028 1032 1068 1086 1095 1129 1151 1170 1176 1180 1190 1203 1221 1238 1247 1267 1303 1304 1400 1439 1482 1587
