chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],z_port[2],z_port[3],z_port[4],sigma_visit,z_visit[1],z_visit[2],z_visit[3],z_visit[4],sigma_time,z_time[1],z_time[2],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],log_lambda_port[2],log_lambda_port[3],log_lambda_port[4],fleet_time[1],fleet_time[2],log_lambda_visit[1],log_lambda_visit[2],log_lambda_visit[3],log_lambda_visit[4],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_port[2],lambda_port[3],lambda_port[4],lambda_visit[1],lambda_visit[2],lambda_visit[3],lambda_visit[4],imported_cases_visit[1],imported_cases_visit[2],imported_cases_visit[3],imported_cases_visit[4],imported_cases[1],imported_cases[2],imported_cases[3],imported_cases[4],attribution_share[1],attribution_share[2],attribution_share[3],attribution_share[4],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration
1.0,11.0,11.0,-61.494267,0.91415807,0.23862036,4.0,15.0,0.0,75.472278,-10.177052,0.26733161,0.66985633,-1.1660044,-0.41598407,0.23564865,0.060735372,0.2267805,0.57567079,-1.1466893,-0.67924413,1.3765843,0.99561889,-1.900453,-10.226901,0.11797098,1.8480774,-0.70185133,0.71293234,-0.47330367,0.70631889,0.71705397,-7.5185498,1.389262,875967.41,6.7837236,0.75445731,0.75880987,-9.9979781,-10.488762,-10.288258,-10.114056,1.3705534,-2.6161338,-12.600338,-13.069932,-12.974036,-8.7847563,4.4998494e-05,0.35370756,4.5491815e-05,2.7847657e-05,3.4030356e-05,4.0506197e-05,3.3708746e-06,2.1076606e-06,2.3197851e-06,0.0001530484,0.0088573316,0.006587638,0.0096931889,1.7248555,0.0088573316,0.006587638,0.0096931889,1.7248555,0.0011065157,0.00082297076,0.0012109365,0.21548021,4.3370448,1.9176664,8.0047049,0.21862063,2.0265177,2.0483897,-37.419395,0.0,0.0
1.0,12.0,12.0,-65.456693,0.98547464,0.23862036,4.0,15.0,0.0,76.407593,-10.176499,1.7150051,-1.4339334,0.22663983,-1.6498899,0.018506755,0.63949856,0.12552527,-0.67919149,1.4428475,1.045512,0.077109664,-1.2548686,-0.095382444,-16.419953,0.1901274,-1.8785721,-1.0873526,0.083270837,0.044078812,-0.69270479,-0.77640344,-5.6269339,0.7996566,15019.413,9.9145673,0.79862146,0.22184052,-12.635702,-9.7878102,-13.006068,-10.144759,-0.096762497,-0.0073549082,-12.562783,-10.229507,-12.090724,-9.5729186,5.1735506e-08,0.33834738,3.2537519e-06,5.6131679e-05,2.2466549e-06,3.9281398e-05,3.4998744e-06,3.6089554e-05,5.6113221e-06,6.9587988e-05,0.0084698014,0.10123288,0.020706176,0.78425662,0.0084698014,0.10123288,0.020706176,0.78425662,0.007261493,0.086790916,0.017752217,0.67237397,0.0049863715,0.24674759,1.1663994,0.7841786,0.50022125,0.46005767,-36.550985,0.0,0.0
1.0,13.0,13.0,-59.981942,0.99838124,0.23862036,4.0,15.0,0.0,76.210337,-7.4583474,0.76556616,-0.24494351,-0.50938648,-1.9397749,-0.23362201,0.57734611,-0.32647929,0.015078924,0.81539344,0.80906468,0.092323829,-0.76376209,1.2692086,-17.25498,0.74358639,0.2709485,-1.0970907,0.13101773,0.72223981,-0.67783503,-0.30341367,-5.9614041,0.62370037,84315.411,8.6623278,0.74884973,0.44663964,-7.6458679,-7.8483165,-8.9433735,-7.6372005,-0.070513441,0.1171782,-7.7171813,-7.7224325,-8.3554311,-7.2406036,3.9242475e-08,0.36697391,0.00047801526,0.00039040867,0.00013059972,0.0004821764,0.0004451135,0.00044278221,0.00023511612,0.00071687889,1.0776417,1.2427215,0.86815892,8.0792251,1.0776417,1.2427215,0.86815892,8.0792251,0.073503813,0.084763579,0.059215406,0.551068,0.0037822682,3.3895017,14.661031,0.7685508,0.50771499,0.73829363,-38.537824,0.0,0.0
1.0,14.0,14.0,-63.926563,1.0,0.23862036,4.0,15.0,0.0,81.192082,-8.6566893,0.082153408,-0.43811634,-0.99205726,0.059032912,-1.3652986,0.36599056,1.955021,-0.71937037,-1.6367784,0.4010986,0.059043457,1.4073856,-1.5294131,-11.033003,0.47425246,-0.32100397,-0.29208966,0.32801474,0.31472899,1.058369,0.48803432,-7.8850703,1.8318988,18142.078,5.8328156,0.96920565,0.2908282,-8.6926821,-8.7381902,-8.6518396,-8.7688532,0.083096909,-0.090301837,-8.0674647,-9.0917748,-9.3411869,-8.538958,1.3877526e-05,0.82790745,0.00016780935,0.00016034382,0.00017480499,0.0001555018,0.0003135773,0.00011258807,8.7735246e-05,0.00019569406,0.86042687,0.37212047,0.39060902,2.2054721,0.86042687,0.37212047,0.39060902,2.2054721,0.082636603,0.035738971,0.037514638,0.21181663,1.3375437,5.246004,10.412176,0.36770684,2.8816671,1.6291108,-38.827852,0.0,0.0
1.0,15.0,15.0,-61.4686,0.99660945,0.23862036,4.0,15.0,0.0,77.364974,-10.534975,0.098683198,0.12718864,-1.3102344,0.27975473,0.18186175,0.056312495,1.1146335,-1.0185287,-1.2605809,-0.020797606,0.04120036,-0.42634532,-2.5941174,-13.018531,0.43378616,0.02080051,-0.19898389,0.23885171,-1.0755323,-0.19425485,-0.14430722,-7.6163053,0.88586418,501113.45,9.3814679,1.2742977,1.1324508,-10.522423,-10.664273,-10.507368,-10.517028,-0.017565581,-0.10687857,-10.566534,-10.828507,-10.685233,-10.535765,2.2389411e-06,0.63389204,2.6925861e-05,2.3364965e-05,2.7334316e-05,2.7071527e-05,2.5763955e-05,1.9826179e-05,2.2880337e-05,2.6569017e-05,0.063482099,0.056959106,0.086796634,0.29943282,0.063482099,0.056959106,0.086796634,0.29943282,0.051540914,0.046244917,0.07046991,0.24310855,0.21579362,0.50921933,1.2316836,0.4113643,0.82344802,0.86562177,-38.741981,0.0,0.0
1.0,16.0,16.0,-59.88493,0.5562469,0.23862036,4.0,31.0,0.0,81.771282,-11.599821,0.090595501,-0.35383792,0.29267927,1.3055741,-0.85833628,0.067731564,0.10623607,-0.094823902,-1.1709243,0.32548563,0.066666176,-1.4202881,-1.8777941,-11.93763,1.0250869,0.51817938,-0.51818556,0.31932944,-1.2255777,0.37638602,-0.38548765,-7.8434073,1.3564205,195792.09,8.9446454,0.81468111,0.72194637,-11.631878,-11.573306,-11.481542,-11.677583,-0.094685175,-0.12518535,-11.749867,-11.704914,-11.686036,-11.750222,1.1123491e-05,0.40270597,8.8785032e-06,9.4140621e-06,1.0318808e-05,8.4818425e-06,7.8903711e-06,8.2531637e-06,8.4104449e-06,7.8875706e-06,0.020121656,0.024808779,0.033610182,0.088892921,0.020121656,0.024808779,0.033610182,0.088892921,0.011672731,0.014391768,0.019497531,0.051567484,1.0721043,0.48427946,1.7238173,0.097129515,1.4570095,0.6801189,-38.776861,0.0,0.0
1.0,17.0,17.0,-55.800499,0.99718281,0.23862036,4.0,31.0,0.0,71.53786,-9.1693913,0.39946515,0.86889195,0.9400548,-0.14994035,-0.62452616,0.058762747,0.72266488,0.03221745,-0.13371282,-0.19901604,0.95322626,-0.14289879,1.1822412,-11.193308,0.40432315,-0.20270471,-0.74633508,0.082723041,0.77085505,-0.50220487,0.12729937,-4.5448345,1.0589561,31675.076,7.7857844,0.71688823,0.32781052,-8.8222992,-8.7938721,-9.2292872,-9.4188677,-0.13621488,1.1269433,-7.6528901,-7.6650356,-8.1102012,-9.5667773,1.2682764e-05,0.50531787,0.00014740904,0.00015165958,9.8123151e-05,8.1177884e-05,0.0004746703,0.00046894005,0.00030045841,7.0016662e-05,1.155493,1.3257362,1.1188057,0.78908778,1.155493,1.3257362,1.1188057,0.78908778,0.13536746,0.15531167,0.1310695,0.092442631,1.2223901,2.92446,8.5359727,0.51419126,0.60519481,1.135757,-40.826637,0.0,0.0
1.0,18.0,18.0,-57.839179,0.99691925,0.23862036,4.0,15.0,0.0,69.171021,-13.553889,0.85492948,-1.0799435,-0.52023672,0.48428583,-0.19714609,1.1737897,0.61930141,-0.92290975,0.87919904,-0.12073958,0.21279905,0.48258005,-0.84945594,-10.856928,0.38107627,-0.47998903,-0.76577598,0.61976436,-1.4342668,0.59066853,-0.068836893,-10.715659,0.99292304,156396.46,7.7396458,1.5654151,0.4163075,-14.477164,-13.998655,-13.139859,-13.722435,0.10269258,-0.18076342,-13.930998,-15.26272,-12.288627,-13.761465,1.6049376e-05,0.19115256,5.1599722e-07,8.326482e-07,1.9653137e-06,1.0975448e-06,8.9093155e-07,2.3522578e-07,4.6038056e-06,1.0555325e-06,0.0023142005,0.00072428156,0.018910879,0.011895851,0.0023142005,0.00072428156,0.018910879,0.011895851,0.0012598113,0.00039428654,0.01029476,0.0064758984,1.5468709,0.25622602,1.8369422,0.018424757,1.8051948,0.93347892,-38.5192,0.0,0.0
1.0,19.0,19.0,-59.808322,0.82302911,0.23862036,4.0,15.0,0.0,73.30291,-9.2845985,0.54265072,1.0368968,-0.71621066,1.6497774,-0.64264163,0.019772783,-1.7567014,0.55069141,-1.069639,0.29999328,0.42060842,1.3778836,-0.99440768,-12.310497,1.0278542,0.74297914,-0.67413938,0.23712379,0.67794722,-0.77010231,0.083650089,-8.285313,1.4493236,17842.34,10.409541,0.51379439,0.58251245,-8.7219258,-9.6732508,-8.3893456,-9.6333285,0.57954946,-0.41825625,-9.1749169,-10.080618,-8.8287516,-9.0478473,9.6667117e-06,0.59846815,0.00016297304,6.2944903e-05,0.00022727595,6.5508642e-05,0.00010360584,4.1883512e-05,0.00014646096,0.00011764401,0.2502043,0.11715751,0.53870525,1.325848,0.2502043,0.11715751,0.53870525,1.325848,0.047704083,0.022337313,0.10270983,0.25278688,0.93169701,2.0813121,5.2449242,0.4255381,0.4629657,1.0872484,-37.188737,0.0,0.0
1.0,20.0,20.0,-58.021512,0.99474655,0.23862036,4.0,15.0,0.0,73.849528,-9.4124685,0.76133696,-0.71387876,1.1010783,-0.079687246,1.2561869,0.076160977,-0.13048916,1.0922209,0.069182107,0.30381289,1.6559214,0.1295827,-1.4843075,-12.216802,0.050243484,0.97075447,-1.1093862,0.71802761,-2.4717652,0.23306524,-0.1601445,-4.3004886,0.907499,207335.14,5.2268424,1.1125748,0.098527431,-9.9559708,-8.574177,-9.4731374,-8.456087,0.21457877,-2.4578967,-12.423806,-10.948889,-11.925765,-8.2183695,5.193886e-06,0.055900504,4.744351e-05,0.00018892188,7.6889797e-05,0.00021260236,4.0217008e-06,1.7577533e-05,6.6176843e-06,0.00026965437,0.010149547,0.05211945,0.026033894,3.0390048,0.010149547,0.05211945,0.026033894,3.0390048,0.0027078495,0.013905215,0.0069457158,0.81079164,0.50059712,0.12028971,3.7481945,0.83435042,1.2624638,0.85202066,-33.96691,0.0,0.0
