chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,ww_expected_fraction[1],ww_expected_fraction[2],ww_expected_fraction[3],ww_expected_fraction[4],ww_expected_fraction[5],ww_expected_fraction[6],ww_expected_fraction[7],conc_expected_log10[1],conc_expected_log10[2],conc_expected_log10[3],conc_expected_log10[4],conc_expected_log10[5],conc_expected_log10[6],conc_expected_log10[7]
1.0,11.0,11.0,-242883.88,0.3606686,0.20814767,4.0,31.0,0.0,242894.33,-4.9355754,0.67907693,1.1276144,0.052197746,-1.1408776,0.26188532,0.031521147,-9.5697766,0.28778271,1.2100004,-0.5345047,0.00044426527,1.6289801,0.24423656,0.35611681,-0.011416314,0.00055658358,98668.178,8.2471373,0.036960805,0.63540189,-4.1698384,0.0082549256,-4.2211347,9.8884366e-05,0.58638365,0.015454757,0.014681975,1.5066517,1.5066517,0.99676612,0.0048453339,4.2810538e-05,1.5115399,0.99676612,1.2766463,1.4277743,-252.53698,-45.761298,-5.6081588,0.4952237,0.4952237,0.49666193,0.49675837,0.49681478,0.49685481,0.49688586,8.0253725,8.0253725,8.1912979,8.2024239,8.2089323,8.2135501,8.217132
1.0,12.0,12.0,-242881.54,0.12317338,0.20814767,5.0,47.0,0.0,242897.65,-4.316106,1.839336,1.5116401,0.11719751,-0.73929957,0.3059286,0.038784042,-10.062362,0.77997486,1.279966,-0.67797136,0.00055240566,1.3943053,-0.012674927,0.068634271,-0.014537299,0.00042539685,61416.392,8.1008996,0.040216797,0.77471879,-1.5356921,0.011865148,-1.610471,0.00011575659,0.50803693,0.21530663,0.19979349,18.07552,18.07552,0.99966177,0.0056720728,0.00044369431,18.081635,0.99966177,0.98740506,1.0710444,-249.93314,-45.426483,-5.6740313,0.49489658,0.49489658,0.49625972,0.49633343,0.49637655,0.49640714,0.49643087,7.8595988,7.8595988,8.083487,8.0955934,8.1026753,8.1076999,8.1115973
1.0,13.0,13.0,-242882.3,0.94186643,0.20814767,4.0,31.0,0.0,242892.2,-7.850736,0.51040414,0.59809371,0.028894073,0.26678478,0.39597875,-0.25075748,-8.8135418,0.34262849,1.1264996,-0.12713642,0.001534472,-0.17357378,1.0844538,0.0023416876,-0.012366458,0.00072898505,204477.82,7.5696827,0.064042172,0.65985483,-7.5454665,-0.099294631,-7.6370527,0.00021875221,0.88037902,0.00052850065,0.00048224771,0.083539096,0.083539096,0.88624397,0.010718858,4.0081985e-06,0.094261963,0.88624397,2.9578238,1.0023444,-255.5777,-46.091563,-4.7644946,0.4943908,0.4943908,0.4957689,0.49589516,0.49596904,0.49602146,0.49606212,7.1854297,7.1854297,7.3957665,7.4150379,7.4263127,7.4343129,7.4405185
1.0,14.0,14.0,-242882.5,0.98425155,0.20814767,4.0,15.0,0.0,242887.37,-7.3043581,0.41975471,0.18438273,0.032069107,0.41801795,0.63194115,-0.60744696,-10.223027,0.30010843,1.3850293,-0.18908564,0.0014288554,-0.033318086,1.1206031,0.10391202,-0.012451033,0.00087320954,186799.01,7.5710231,0.030099466,0.59382041,-7.2269626,-0.38387073,-7.5974279,5.5044518e-05,0.82767621,0.00072672486,0.00050174031,0.089210195,0.089210195,0.97061446,0.0026971814,3.674281e-06,0.09191105,0.97061446,3.0667031,1.1095028,-255.80591,-46.48948,-3.5504002,0.49387159,0.49387159,0.4955168,0.49566805,0.49575654,0.49581932,0.49586803,7.3904263,7.3904263,7.4889535,7.4980109,7.5033099,7.50707,7.5099866
1.0,15.0,15.0,-242873.9,0.96440176,0.20814767,4.0,31.0,0.0,242893.9,-6.6973202,0.41429719,0.61606952,0.37685322,-0.36092273,0.6621157,1.3479969,-12.725134,0.48360812,-2.3618259,-0.10402547,0.0070153978,-0.61842276,-0.6821658,0.0086401768,-0.015433612,0.00037339152,30776.256,7.8707238,0.075540055,0.25371857,-6.4420843,0.89252994,-5.6855693,9.4949795e-07,0.89730097,0.0015930827,0.0033946003,0.23840916,0.23840916,0.99976156,4.6525399e-05,1.0334925e-05,0.23846602,0.99976156,0.50552095,1.0086776,-254.00651,-45.364937,-0.34061837,0.49485213,0.49485213,0.49564461,0.4957093,0.49574715,0.495774,0.49579482,7.4174835,7.4174835,7.6960224,7.7187588,7.7320596,7.741497,7.7488173
1.0,16.0,16.0,-242876.0,0.99917695,0.20814767,4.0,15.0,0.0,242881.22,-4.8380911,1.854122,1.4052408,0.47665338,0.064790404,0.60377634,1.8440623,-11.978412,0.43779111,-1.9385278,-1.1225674,0.0013350158,-0.28993962,-0.39219529,-0.014638993,-0.009794893,0.0011680906,40635.767,7.7120019,0.042491914,0.39574856,-2.2326032,1.1134012,-1.0883195,2.6870081e-06,0.32531724,0.10724887,0.33678199,26.05818,26.05818,0.99997923,0.0001316634,0.00040946321,26.058721,0.99997923,0.67557217,0.98546764,-249.41173,-47.174978,-1.1635971,0.4935172,0.4935172,0.49736689,0.4975693,0.49768771,0.49777171,0.49783688,7.4570504,7.4570504,7.7003485,7.7131399,7.7206223,7.7259312,7.7300491
1.0,17.0,17.0,-242880.97,0.91698964,0.20814767,4.0,15.0,0.0,242889.31,-7.2111667,0.47962933,-0.30648845,0.051462746,-1.3302978,0.16007321,-1.0487889,-10.677501,0.15003403,0.54398399,0.24025416,0.0014614381,0.46131767,0.40872787,0.15871561,-0.02069641,4.8044596e-05,65315.493,7.6170169,0.0082496005,0.17742023,-7.3581675,-0.167883,-7.5945113,2.5018762e-05,1.2724299,0.00063736533,0.0005032058,0.056462654,0.056462654,0.97868921,0.0012259194,3.5455628e-06,0.057692119,0.97868921,1.5049021,1.1720046,-255.85801,-45.33798,1.7780594,0.49466016,0.49466016,0.49474509,0.49475341,0.49475828,0.49476173,0.49476441,7.5675193,7.5675193,7.592856,7.5953378,7.59679,7.5978205,7.5986198
1.0,18.0,18.0,-242880.0,0.96207275,0.20814767,4.0,31.0,0.0,242888.99,-5.893461,0.27642811,-0.10456633,0.018188758,-0.41154927,0.16788197,0.12034249,-12.253088,0.13073993,0.32796741,-0.087881056,0.0010695672,1.1531279,0.25072087,-0.14539295,-0.01809766,7.6107302e-05,144758.24,7.74511,0.0033507121,0.17035759,-5.9223661,0.020203333,-5.9096483,4.9793604e-06,0.91700009,0.0026788542,0.0027131408,0.27936657,0.27936657,0.99908315,0.00024398866,1.2384671e-05,0.27962294,0.99908315,1.2849514,0.86468245,-254.22861,-45.110268,2.3898166,0.49521287,0.49521287,0.49537742,0.49539061,0.49539832,0.4954038,0.49540804,7.7250057,7.7250057,7.7375924,7.7386009,7.7391909,7.7396096,7.7399343
1.0,19.0,19.0,-242879.01,0.96805912,0.20814767,4.0,31.0,0.0,242885.33,-4.0855487,0.43263757,0.36525488,0.039597133,-0.80107249,0.32049295,0.16363865,-10.191489,0.075861489,-0.46290871,-0.049660672,0.00068946489,0.63091897,0.14370319,0.22994678,-0.018295249,8.6716986e-05,66192.554,7.6335305,0.0059443377,0.14709771,-3.9275257,0.052445034,-3.9068009,3.6194398e-05,0.95196627,0.019692336,0.020104716,1.9600236,1.9600236,0.99905003,0.0017735255,9.0206364e-05,1.9618873,0.99905003,1.1545414,1.258533,-252.22767,-45.001393,2.0587623,0.49512683,0.49512683,0.49535656,0.49537158,0.49538037,0.49538661,0.49539145,7.5978644,7.5978644,7.6252231,7.6270125,7.6280592,7.6288019,7.6293779
1.0,20.0,20.0,-242875.74,0.96401416,0.20814767,4.0,15.0,0.0,242885.34,-6.8521803,0.61008921,-0.030652647,0.12107546,-1.5568826,1.1528639,1.6029145,-15.104876,0.35544573,-0.36522124,-0.68093427,0.0010957266,-0.67290351,0.11529144,0.030399825,-0.012436647,0.00065215939,31298.475,7.6186826,0.012323288,0.19749956,-6.8708812,1.8479422,-5.2114393,2.4191178e-07,0.50577084,0.0010375624,0.0054538186,0.52428877,0.52428877,0.99995296,1.1853677e-05,1.2808424e-05,0.52431344,0.99995296,1.1222004,1.0308666,-253.53326,-45.604707,1.5443291,0.49463857,0.49463857,0.49615113,0.49626413,0.49633023,0.49637713,0.49641351,7.5447429,7.5447429,7.5943986,7.5981081,7.600278,7.6018176,7.6030119
1.0,21.0,21.0,-242877.9,0.91563373,0.20814767,5.0,31.0,0.0,242885.51,-6.6217604,0.54959045,0.15472042,0.070722874,0.85610764,0.53017914,-0.28621868,-8.3326189,0.6733344,-0.18967838,-0.17765598,0.00047400649,0.67555153,-0.33658982,-0.081137415,-0.011939951,0.00020980619,146568.67,7.8718629,0.047037112,0.45875876,-6.5367275,-0.15174717,-6.6279283,0.00021170095,0.83749853,0.0014492233,0.0013229009,0.10450451,0.10450451,0.90966428,0.010373346,4.6470987e-06,0.1148825,0.90966428,0.71420173,0.92206698,-254.79864,-45.404717,-1.7092653,0.49629044,0.49629044,0.49669745,0.4967338,0.49675506,0.49677014,0.49678185,7.5896402,7.5896402,7.7481659,7.7623211,7.7706025,7.7764785,7.7810365
1.0,22.0,22.0,-242877.6,0.96744243,0.20814767,4.0,15.0,0.0,242886.55,-4.0398182,0.48019355,-0.18385124,1.1630433,1.3408193,1.2975185,0.59452475,-12.455177,0.25048178,-0.024858943,-1.1090502,5.3142533e-05,0.36598443,-0.0071813905,0.096653835,-0.0083368841,0.00093277896,31831.256,7.7101992,0.0057942652,0.13049356,-4.1281024,0.77140688,-1.7972645,3.8732996e-06,0.32987855,0.016113427,0.16575168,15.033589,15.033589,0.99997144,0.00018979168,0.00023954314,15.034018,0.99997144,0.99284433,1.101479,-250.12042,-46.644392,2.0748374,0.49469427,0.49469427,0.49764027,0.49780191,0.49789646,0.49796354,0.49801558,7.6754336,7.6754336,7.707226,7.7089703,7.7099906,7.7107145,7.711276
